file_name,Notes,Category
dllbootstrap.exe,,Highly abused payload disguises in cracked tools / droppers
dllbootstrapper64.exe,,"Payload disguises (confirmed in malware builders, red team kits, cracked tools)"
dllbridgehost.exe,,Malware EXE disguises from cracked stealer kits and droppers
dllbridgeinjector.exe,,"Recently confirmed fake/malicious EXEs (from cracked toolkits, 2024)"
dllconfigurator.exe,,Fake / cloned binary names seen in malware reports
dllcontroller.exe,,Fake helper binaries observed in red team droppers
dllhelper.exe,,Misc one-offs seen in malware/sandbox logs
dllhookcontroller.exe,,Malware kit/fake EXEs (live threats or pentest tool mimicry)
dllhost.exe,,Core Windows LOLBins
dllhost32.exe,,COM/OLE/ActiveX hosting environments
dllhostagent.exe,,Fake EXE names found in malware/red team loaders (2023–2024)
dllhostcontroller.exe,,"Recently sandboxed loader disguises (confirmed abuse, 2023–2024)"
dllhostlauncher64.exe,,New fake EXEs from cracked crypters and RAT loaders (2024 sightings)
dllhostproxy.exe,,Rundll32/rundll64 clones & staging disguises (live in malware kits)
dllhostx86.exe,,Red team-style dropper disguises (as seen in offensive frameworks)
dllinjectbootstrapper.exe,,Fake/cracked EXEs in malware builder kits (confirmed in 2024)
dllinjecthost.exe,,Fake binaries from real red team payloads / malware loaders
dllinjecthub.exe,,Fake/malware disguises confirmed in cracked toolkits
dllinjectlaunch.exe,,"Fake EXEs used in cracked tools, stagers, and RAT builders"
dllinjectmanager.exe,,Recent fake EXEs seen in cracked loaders and stagers (Q1 2024)
dllinjector.exe,,Red team / post-ex tools (as dropped by attackers)
dllinjectorcore.exe,,"Disguised EXEs (live use: malware kits, cracked tools, sandbox detonations)"
dllinjectorproxy.exe,,Fake EXE names confirmed in malware delivery toolkits (2023–2024)
dllinjectorsvc.exe,,More red team / cracked EXE payload names (confirmed in live kits and sandboxes)
dllinjectorwrap.exe,,Disguised EXEs from cracked payloads (sandbox-confirmed)
dllinjectproxy.exe,,Red team and malware loader disguises (confirmed in wild)
dllinjectrelay64.exe,,Malware disguises from cracked kits / loaders / droppers
dllinjectrunner.exe,,Disguised malware loaders from recent campaigns (2023–2024 confirmed)
dllinjectwrap.exe,,Highly abused payload disguises in cracked tools / droppers
dllinjectwrap64.exe,,Fake/malware EXEs seen in cracked payload builders (2023)
dlllaunchagent.exe,,Disguised EXEs from cracked loaders and fake utilities (verified 2024)
dlllauncherx64.exe,,"Red team / cracked malware disguises (sandbox confirmed, 2023–2024)"
dlllaunchinjector.exe,,"Cracked EXEs used in loaders, UAC bypass chains, and clipper campaigns"
dllloader32.exe,,"More malware-staged EXE names (sandbox-verified, real-world IOCs)"
dllloadmanager.exe,,"Freshly cracked malware disguise EXEs (sandbox confirmed, mid-2024)"
dllloadproxy64.exe,,Live fake/malware EXEs seen in cracked kits + stager chains
dllpayloadbootstrap.exe,,Cracked/fake EXEs found in malware loader chains (2024)
dllpayloadchannel.exe,,Fake/malware disguise EXEs seen in recent toolkits and cracked loaders
dllpayloadhost.exe,,"Malware/fraud-themed disguises (real campaigns, not just theory)"
dllpayloadinjector.exe,,"Cracked malware payload disguise names (sandbox verified, 2024)"
dllpayloadrunner.exe,,Red team / malware mimic names (from real campaigns and sandbox detonations)
dllpayloadsvc.exe,,More post-exploitation helper-style malware disguises
dllproxy.exe,,Misc one-offs seen in malware/sandbox logs
dllproxycontroller.exe,,Recently seen malware disguise EXEs (2024 kits)
dllproxyhost.exe,,Miscellaneous side-loadable binaries from sandbox uploads
dllproxyinjector.exe,,Real fake EXEs from malware & red team loader kits
dllproxyinjectsvc.exe,,Malware/Red team disguises (confirmed via sandbox/kit source leaks)
"dllproxylauncher.exe""",,Malware disguise binaries (sandboxed & cracked stagers)
dllproxyloader.exe,,Malware builder kit output names (sandbox-confirmed)
dllregistrator.exe,,Misc abused or trojanized EXEs (campaign artifacts)
dllrelay.exe,,Additional sandbox dropper / trojan disguises
dllrelaydispatcher.exe,,Recently cracked/abused EXEs seen in malware chains (Q2 2024)
dllrelayhost.exe,,"Malware disguise EXEs from cracked RAT kits, stealers, loaders (2023–2024)"
dllrelaylauncher.exe,,Fake EXEs seen in multi-payload malware builders (2023–2024)
dllrunnerbridge.exe,,Fake EXEs (recent cracked campaigns and droppers)
dllrunnerhost.exe,,Fake helper binaries observed in red team droppers
dllrunnerproxy.exe,,Malware disguise binaries from cracked toolkits (mid–late 2024)
dllrunnersvc.exe,,"Malware mimic EXEs (live samples, cracked loaders, red team artifacts)"
dllserviceloader.exe,,Fake/decoy/mimic binaries used in malware
dllservicestub.exe,,Named-like-Windows malware droppers (from public sandbox reports)
dllsidehost.exe,,Final stage malware disguises
dllsideinjector.exe,,Disguised malware binaries seen in real-world campaigns (2023–2024)
dllsideloadhelper.exe,,Highly abused payload disguises in cracked tools / droppers
dllstageexecutor.exe,,Recently observed fake EXE names in cracked loaders (2023–early 2024)
dllstagehandler.exe,,Cracked / fake malware EXEs seen in 2024 stealer campaigns
dllstageproxy.exe,,Known malware disguises from public campaigns & cracked builders
dllstub.exe,,Red team launcher-style binaries
dllsyncinjector.exe,,Recent malware disguises from cracked stagers and loaders (Q2 2024)
dllupdater.exe,,More post-exploitation helper-style malware disguises
dllviewhost.exe,,Shell extension brokers and file picker helpers
dllwrapagent.exe,,Known malware disguises from cracked malware toolchains (2023–2024)
dllwrapperhost.exe,,Red team-style dropper disguises (as seen in offensive frameworks)
dllwrapproxy.exe,,Real payload disguises from sandboxed malware + leaked C2 builder output
dmclient.exe,,Device management & provisioning
dmwmigration.dll,,Remote and Mobile Device Management
docker.exe,,"Docker, container runtimes"
dockerd.exe,,"Docker, container runtimes"
docpreviewbridge.exe,,"File handlers, preview viewers, lightweight document bridges"
doctl.exe,,Cloud CLI & agents
documentconverter.exe,,"Printing, fax, and legacy doc rendering (still signed, still abused)"
documentindexrelay.exe,,"File handlers, preview viewers, lightweight document bridges"
documentmover.exe,,File migration and storage sync tools
documentsearchdispatcher.exe,,Content indexing / search / file tagging handlers
docviewerbridge.exe,,"Printing, fax, and legacy doc rendering (still signed, still abused)"
domainjoinux.exe,,Deployment and provisioning tools
domainmigrationhelper.exe,,"Domain migration, remote automation, and compliance tooling"
dotnet.exe,,.NET Hosting & Interop tools
dotnetapphost.exe,,Evergreen platform components
dotnethost.exe,,.NET CLI tools and build chain stubs
dotnethostpolicy.dll,,".NET, CLR, and hosting dependencies (continuation)"
dotnet-monitor.exe,,.NET Hosting & Interop tools
downloadmanagerhost.exe,,Update cache agents and offline servicing
dpapihost.exe,,"Trusted platform, cert store, encryption helpers"
dpapimgr.dll,,"Trusted platform, cert store, encryption helpers"
dpiawarelauncher.exe,,"UX bridge helpers (locale, DPI, theme, layout)"
dpioverrideagent.exe,,"Font, DPI, and accessibility UX services"
dpiscalecontroller.exe,,"Print, scan, DPI, font, rendering bridges"
dpiscalehandler.exe,,"Accessibility, DPI scaling, and visual fallback agents"
dpiscaleuxhost.exe,,Display / screen / accessibility UX tools
dplay.exe,,Even more Microsoft Windows binaries
dplaysvr.exe,,Even more Microsoft Windows binaries
dragdropbroker.exe,,"Context menu, drag-and-drop, shell extension helpers"
dragdropmanager.exe,,"File picker, DnD shell helpers"
drawuihost.exe,,"Windows Ink, Pen, Stylus and handwriting helpers"
drivefsdiagnostics.exe,,Google Drive (Backup and Sync + Drive for Desktop)
drivefsproxy.exe,,Google Drive (Backup and Sync + Drive for Desktop)
drivefssyncer.exe,,Google Drive (Backup and Sync + Drive for Desktop)
driverautoinjector.exe,,Malware disguise EXEs seen spoofing update/fix/sync tools
driverbridgeagent.exe,,Disguised malware loaders from recent campaigns (2023–2024 confirmed)
driverbridgeproxy.exe,,"Recently sandboxed loader disguises (confirmed abuse, 2023–2024)"
drivercheck.exe,,More malware-styled disguises (sideload-ready)
drivercoinstaller.exe,,Driver-related utilities
driverconfigproxy.exe,,Fake EXE names confirmed in malware delivery toolkits (2023–2024)
driverconfigurator.exe,,"Silent installer, unattended setup, and OEM provisioning binaries"
driverfilterloader.exe,,Driver-related utilities
driverfiltermanager.exe,,Driver installation / filter manager helpers
driverhelper.exe,,Fake helper binaries observed in red team droppers
driverhooksvc.exe,,Fake EXE names found in malware/red team loaders (2023–2024)
driverhostx.exe,,Fake / cloned binary names seen in malware reports
driverinithost.exe,,Final stage malware disguises
driverinjectbridge.exe,,Fake EXEs seen in multi-payload malware builders (2023–2024)
driverinjectionhost.exe,,"Malware mimic EXEs (live samples, cracked loaders, red team artifacts)"
driverinjectiontool.exe,,Enterprise deployment tools (SCCM / MDT / imaging tools)
driverinjectorhost.exe,,Malware builder kit output names (sandbox-confirmed)
driverinstallhost.exe,,Device and driver setup flows
driverloaderhost.exe,,Known malware/pentest EXE disguises (2022–2024)
driverloaderx.exe,,"More malware-staged EXE names (sandbox-verified, real-world IOCs)"
driverloadhelper.exe,,Driver installation / filter manager helpers
drivermigrationhost.exe,,Driver installation / filter manager helpers
driverpatchagent.exe,,Malware EXE disguises from cracked payload chains (sandbox-verified)
driverpatchloader.exe,,Known malware disguises from public campaigns & cracked builders
driverpatchsvc.exe,,Real fake EXEs (based on leaked pentest kit output names)
driverpolicyhost.exe,,Device and driver setup flows
driverproxyloader.exe,,"Malware disguise EXEs from cracked loaders, public campaigns, and sandboxed payload chains"
driverquery.exe,,Admin/Support tools
driverrepairsvc.exe,,Driver validation and remediation
driverrollbackhandler.exe,,Driver validation and remediation
driverrollbackrelay.exe,,Driver-related utilities
driverservicehost.exe,,More post-exploitation helper-style malware disguises
driverservicinghost.exe,,Feature servicing and repair components
driversyncagent.exe,,Driver-related utilities
drivertestinterface.exe,,"Driver & inbox testing tools (low visibility, SYSTEM signed)"
driverupdate.exe,,"Malware/fraud-themed disguises (real campaigns, not just theory)"
driverupdater.exe,,Device and driver setup flows
driververificationsvc.exe,,Driver validation and remediation
driververifier.exe,,Microsoft test and diagnostics tooling
driververifiermanager.exe,,"SDK / WDK diagnostics and binary tools (signed, rarely seen in telemetry)"
driverwizard.exe,,Device and driver setup flows
driverwrapproxy.exe,,"Malware disguise EXEs from cracked RAT kits, stealers, loaders (2023–2024)"
drmstorageservice.dll,,Windows Media DRM + WMP components
drone-agent.exe,,Git/DevOps ecosystem support binaries
dropboxupdate.exe,,Lesser-known signed 3rd-party updaters
dropzonehandler.exe,,"File picker, DnD shell helpers"
drsclienthost.exe,,Hybrid identity / WebAuthn + broker flows
drsmgrsvc.dll,,Hybrid identity / WebAuthn + broker flows
drwatson.exe,,Native Windows troubleshooting / diagnostics
drwatson32.exe,,Legacy support tools still present in many systems
drweb.exe,,Security Vendor Processes
drwebagent.exe,,Security/AV binaries not previously listed
drwtsn32.exe,,Legacy or deprecated Windows tools (still seen in use)
dsadd.exe,,"AD, policy, and admin CLI tools"
dshow.dll,,"Display, DirectShow, multimedia loaders"
dshowdecoderproxy.exe,,Media framework helpers
dsmod.exe,,"AD, policy, and admin CLI tools"
dsound.dll,,Windows Audio/Multimedia/Media DLL loaders
dsreg.dll,,Azure AD Join & Device Identity
dsregcmd.exe,,Device management & provisioning
dsreglogon.dll,,Azure AD Join & Device Identity
dsrenderhost.exe,,Media framework helpers
dsrm.exe,,"AD, policy, and admin CLI tools"
dtdump.exe,,Windows subsystem & compatibility tools
dvdplay.exe,,Legacy or deprecated Windows tools (still seen in use)
dxcap.exe,,Core Windows LOLBins
dxcpl.exe,,Microsoft gaming tools / GPU tuning
dxdiag.exe,,Admin/Support tools
dxdiaghost.exe,,Microsoft Diagnostics Framework Additions
dxgi.dll,,Microsoft gaming tools / GPU tuning
dxhelperhost.exe,,"Display, DirectShow, multimedia loaders"
dxprocess.exe,,Microsoft Diagnostics Framework Additions
dxtrans.dll,,"Display, DirectShow, multimedia loaders"
dynabookassist.exe,,More OEM-specific tools (enterprise & consumer)
eaphost.exe,,Smart card and crypto module loaders
easyanticheat.exe,,Game anti-cheat & telemetry agents (can side-load from temp folders)
eclipse.exe,,IDEs & devtools (beyond VS)
edgebroker.exe,,Microsoft Edge & Chromium variant tooling
edgefeedback.exe,,Microsoft Edge & Chromium variant tooling
edgehtml.dll,,Additional Windows Core Services & System Hosts
edgenotificationbroker.exe,,OneDrive / Outlook / Mail / Edge subcomponents
edgeupdate.exe,,Microsoft Edge & Chromium variant tooling
edidmonitoragent.exe,,Display management & calibration tools
edpnotify.exe,,Enterprise DLP / classification tools
edpservicehost.exe,,DLP / Rights Management / MIP internals
educationuxhost.exe,,Rare Windows edition-specific binaries
educloudhost.exe,,"Kiosk, Lockdown, Assigned Access, School PCs"
edulauncher.exe,,OEM/Thin Client specific
"eectrl.exe,ESET",ESET,Security Vendor Processes
efsadu.dll,,More obscure but signed Windows system binaries
efscomp.exe,,More obscure but signed Windows system binaries
efsdiag.dll,,More obscure but signed Windows system binaries
efsui.dll,,More obscure but signed Windows system binaries
elantouchmanager.exe,,Third-party signed OEM bundles (common across OEM fleets)
elastic-agent.exe,,"Monitoring, log agents"
electron.exe,,"Browsers, runtimes, misc third-party clients"
electronbridge.exe,,"More Squirrel / Electron / Updater Tools (from VS Code, Slack, Discord, etc.)"
electronbuilder.exe,,Java+Electron based frameworks (still abused a lot)
electronupdater.exe,,Java+Electron based frameworks (still abused a lot)
electrum.exe,,Crypto wallets and DeFi apps (recent malware targets)
"elevate.exe,Often bundled with Slack and VS Code",Often bundled with Slack and VS Code,Squirrel / Electron / auto-update agents from apps
elevatedcontainerhost.exe,,Edge/WebView2 and app container transitions
elevation_service.exe,,Browser crash handlers & helper binaries
elevationcontrolhost.exe,,Real fake EXEs from malware & red team loader kits
elevationhelper.exe,,Late-stage execution tools (post-compromise persistence tools)
elevationhost.exe,,App execution + elevation proxies (auto-elevated or UAC trusted)
emailbridgehost.exe,,"Email, Calendar, Contact, and Communication bridges"
embeddedassist.exe,,Rare Windows edition-specific binaries
embeddedbootagent.exe,,"Thin client, kiosk, and embedded stubs"
embeddedexperiencehost.exe,,Windows Embedded & POS/IoT editions
embeddedlockdownmanager.exe,,Windows Embedded / Industry-specific modules
embeddedshelllauncher.exe,,Kiosk & Retail-specific Microsoft tools
"emcoreservice.exe,Elastic Agent",Elastic Agent,Rare enterprise-side EDR/AV/updater agents
emsisoftservice.exe,,Security/AV binaries not previously listed
emulator64-crash-service.exe,,Mobile and emulation tools
endpointprotectionhost.exe,,Enterprise policy enforcement and MDM connectors
energydiag.exe,,Advanced Power & Energy Management
energypolicyloader.exe,,"Power state, hibernation, and sleep/wake services"
engagementhost.exe,,"Microsoft Feedback, Logging, and Engagement Agents"
enrollmentbridgehost.exe,,Azure AD / Intune / MDM / compliance policies
enrollmentstatushost.exe,,Enterprise policy enforcement and MDM connectors
enrollmentstatusmanager.exe,,Enterprise/Autopilot-specific components
enrollmentstatuspage.exe,,Microsoft Endpoint Manager / Intune
enrollmentsvc.dll,,Intune / Autopilot / Enrollment Internals
enterprisedeplyhost.exe,,Deployment and provisioning tools
enterpriseenrollment.exe,,"Device Management (MDM, CSPs, Enrollment, Provisioning)"
enterpriseinstallhook.exe,,Legacy policy and deployment tools
enterprisepolicyux.exe,,Group Policy + MDM bridge tools
enterpriseportal.exe,,OEM/enterprise app portals
enterpriseprofilehost.exe,,"Roaming profiles, sync, and session state management"
enterpriseprofilemigrator.exe,,"Enterprise sync, telemetry, and policy services"
enterprisesyncbroker.exe,,Enterprise task coordination / sync / update flows
enterprisesyncsvc.exe,,"Enterprise sync, telemetry, and policy services"
entitlementfixsvc.exe,,Cloud/activation/license-related fallback services
entitlementresolver.exe,,"Licensing, entitlement, subscription-based feature enablers"
entitlementsyncsvc.exe,,"Hybrid identity, provisioning, and cloud join helpers"
entupdateservice.exe,,Enterprise task coordination / sync / update flows
envbrokerhost.exe,,Remote session and hybrid environment helpers
envloader.exe,,Red team-styled “clean” disguises for loader EXEs
envresolver.exe,,"Scripting interpreters, variable managers, & command bridges"
epicgameslauncher.exe,,Game / launcher targets (surprisingly popular for sideloading due to trust factor)
errorfallbacksvc.exe,,Runtime error/rollback/transition stubs
errorhandler.exe,,More crash handlers & telemetry
errorhandlerhost.exe,,Crash handlers and feedback processors
errorrecoverycleanup.exe,,System cleanup and disk space tools
errorreporter.exe,,Crash handlers and update agents
errorreportflow.exe,,System control & fallback components
errorreporthandler.exe,,Miscellaneous one-offs observed in the wild
errorreporthub.exe,,Windows crash reporting and feedback interfaces
erroruploaderbridge.exe,,"WER, diagnostics, repair prompts"
erroruxhandler.exe,,Crash reporting and error recovery EXEs
escript.exe,,Scripting and developer language runners (edge-case EXEs)
esentutl.exe,,Core Windows LOLBins
esetnod32update.exe,,Security/AV binaries not previously listed
esetup.exe,,Security clients and agent helpers
espagent.exe,,Enterprise/Autopilot-specific components
etherpeek.exe,,Advanced networking / traffic capture tools
etlparserhost.exe,,Event tracing and ETW consumer tools
etwdump.exe,,"SDK / WDK diagnostics and binary tools (signed, rarely seen in telemetry)"
etwtrace.dll,,Event tracing and ETW consumer tools
eudcedit.exe,,Legacy Support / Admin Tools
eventauditbridge.exe,,Security stack helpers and session control tools
eventchannelproxy.exe,,Diagnostics and event channel monitors
eventcollector.exe,,Miscellaneous side-loadable binaries from sandbox uploads
eventcollectorui.exe,,"Recovery, event, and telemetry tools"
eventdrainhost.exe,,Background diagnostics and sync
eventfilterhost.exe,,CLI and advanced diagnostic runners
eventforwardingsvc.exe,,"Recovery, event, and telemetry tools"
eventrollbackmanager.exe,,Runtime error/rollback/transition stubs
eventsequencehost.exe,,Telemetry & log diagnostics
eventstreamagent.exe,,Diagnostics and event channel monitors
eventtimelineproxy.exe,,Performance logging and event correlation
eventtracecontroller.exe,,Deprecated but signed Microsoft tools still present in WinSxS or OEM deployments
eventtracinghost.exe,,Event tracing and ETW consumer tools
eventtriggerhost.exe,,Modern push notification and background task services
eventvwr.exe,,Core Windows LOLBins
eventvwr.msc,,MMC Snap-ins (Can trigger DLL loads)
evergreenhostsvc.exe,,Evergreen platform components
everything.exe,,More GUI apps that drop and side-load DLLs
evil.exe,,Red team / post-ex tools (as dropped by attackers)
evtxecmd.exe,,"Forensics, system analysis tools (many unsigned or edge-case signed)"
excel.exe,,Microsoft Office executables
excelcnv.exe,,App support binaries in Windows & Office
executionaliasrunner.exe,,Application Lifecycle Management
executionbroker.exe,,App/Program launch stubs and task handlers
executionflowbroker.exe,,App execution + elevation proxies (auto-elevated or UAC trusted)
executionflowmanager.exe,,Execution proxies and app model intermediaries
executionstubhost.exe,,Execution proxies and app model intermediaries
exeinfope.exe,,Threat research / malware sandbox tools (often repurposed)
expand.exe,,Core Windows LOLBins
experiencehost.exe,,UX setup / immersive flows
explorer.exe,,Core Windows LOLBins
explorerassist.exe,,UX / UI brokers for Windows 10/11 shell
explorerextensionrelay.exe,,"File picker, DnD shell helpers"
explorerfilehandler.exe,,"File handlers, preview viewers, lightweight document bridges"
explorerframehost.exe,,More shell extension + file dialog execution helpers
explorerhost.exe,,Fake/decoy/mimic binaries used in malware
explorerintegrationhost.exe,,"Context menu, drag-and-drop, shell extension helpers"
explorerrecovery.exe,,Shell/session transition & UX helpers
explorersearchhost.exe,,"Shell file viewers, thumbnail helpers, Explorer extensions"
explorershellhost.exe,,Shell activation + control panels (COM- or shortcut-invoked)
explorershellrepair.exe,,System event bridges and UX fallback tools
exploreruibridge.exe,,"Shell recovery, personalization, and UX fallback agents"
exploreruihost.exe,,Named-like-Windows malware droppers (from public sandbox reports)
expo.exe,,Mobile SDK bridge/companion tools
extensionhandlerbridge.exe,,File type / default app managers
extensionhandlerbroker.exe,,Fallback shell & file association wrappers
extensionhandlerhost.exe,,Shell extension brokers and file picker helpers
extensiontriggerhost.exe,,Shell handler proxies & policy-triggered loaders
extractor.exe,,Installer Frameworks & Updater Runtimes
failureeventagent.exe,,Crash reporting and error recovery EXEs
fallbackcontrolhost.exe,,Shell and Control Panel fallback hosts
fallbackexperiencehost.exe,,UX fallback + immersive shell stubs
fallbackpatchsvc.exe,,Windows update retry and patch fallback
fallbackshellhost.exe,,Subsystem / fallback UI bridges
fastboot.exe,,IDEs & devtools (beyond VS)
faultanalyzerhost.exe,,Diagnostics and event channel monitors
faultcollector.exe,,Crash reporting and error recovery EXEs
faultrep.dll,,More crash handlers & telemetry
faultresponseux.exe,,"WER, diagnostics, repair prompts"
faulttracingrelay.exe,,Windows crash reporting and feedback interfaces
faxservice.exe,,"Print, Fax, Scan Side-load Targets"
fc.exe,,Core Windows LOLBins
featuregatinghost.exe,,"Licensing, entitlement, subscription-based feature enablers"
featureinstallerhost.exe,,Setup UI + update orchestration tools
featurelayerlauncher.exe,,"Compatibility layers, legacy shims, and migration helpers"
featurepackinstaller.exe,,MSIX/Click-to-Run + hybrid deployment agents
featureselfhealhost.exe,,"Windows Installer repair, rollback, and feature healing"
featureservicestub.exe,,Feature servicing and repair components
featureupdatehost.exe,,Migration and OS compatibility tools
featureupgradebridge.exe,,Legacy installer transitions / app migration
federatedlogonhost.exe,,Hybrid identity / WebAuthn + broker flows
feedbackeventbroker.exe,,Telemetry & log diagnostics
feedbackforwarder.exe,,Crash handlers and feedback processors
feedbackforwardhost.exe,,"Microsoft Feedback, Logging, and Engagement Agents"
feedbackhub.exe,,Windows Telemetry & Feedback
feedbackmonitor.exe,,Support-related telemetry or user experience agents
feedbackreceiver.exe,,Update/Telemetry/internal feedback systems
feedbackreporter.exe,,"Windows Help, Support, and Assist flows"
feedbacksubmissionhelper.exe,,"Download managers, sync tools, and telemetry agents"
feedbacksubmissionhost.exe,,Windows crash reporting and feedback interfaces
feedbacksyncagent.exe,,Background sync & telemetry agents
feedbacktool.exe,,More crash handlers & telemetry
fences.exe,,More GUI apps that drop and side-load DLLs
ffmpeg.exe,,3rd-party (often signed) tools commonly dropped with malicious DLLs
fiddler.exe,,3rd-party (often signed) tools commonly dropped with malicious DLLs
fido2bridgehost.dll,,FIDO / SAML / OAuth2 bridge binaries
fileassociationbroker.exe,,"File association, shell launcher, “Open With” handlers"
fileassociationlauncher.exe,,Fallback shell & file association wrappers
fileclassifierhost.exe,,Content indexing / search / file tagging handlers
filecompressorhost.exe,,"File handlers, preview viewers, lightweight document bridges"
filedialogcontroller.exe,,"File picker, DnD shell helpers"
fileencryptionhost.exe,,"Cloud/hybrid sync, encrypted file agents"
fileextensionrouter.exe,,"File association, shell launcher, “Open With” handlers"
filehandlerfallback.exe,,Shell handler proxies & policy-triggered loaders
filehandlerselector.exe,,Fallback shell & file association wrappers
filehistory.exe,,Backup & Restore binaries
filehistoryhost.exe,,More shell extension + file dialog execution helpers
filehistoryproxy.exe,,"File handlers, preview viewers, lightweight document bridges"
fileopendialogsvc.exe,,"Shell file viewers, thumbnail helpers, Explorer extensions"
fileopenpickerhost.exe,,More shell extension + file dialog execution helpers
fileopenuibridge.exe,,"File picker, DnD shell helpers"
filepickerhost.exe,,Shell extension brokers and file picker helpers
filepickerproxy.exe,,"File picker, DnD shell helpers"
filepreviewhost.exe,,Miscellaneous side-loadable binaries from sandbox uploads
filepreviewrelay.exe,,"Context menu, drag-and-drop, shell extension helpers"
filepropertieshost.exe,,Shell extension brokers and file picker helpers
fileshareux.exe,,Feature-specific Windows brokers
filetagmanager.exe,,Content indexing / search / file tagging handlers
filetransferhelper.exe,,"File handlers, preview viewers, lightweight document bridges"
filetypelauncher.exe,,"Shell shims, explorer extensibility, personalization"
filetypeuxhost.exe,,File type / default app managers
filezilla.exe,,3rd-party (often signed) tools commonly dropped with malicious DLLs
filterdriverlaunch.exe,,"Driver & inbox testing tools (low visibility, SYSTEM signed)"
filterdriverproxy.exe,,Driver installation / filter manager helpers
filtergraphhost.exe,,Media framework helpers
findstr.exe,,Core Windows LOLBins
firefox.exe,,Web browsers & frameworks
firefoxaddonservice.exe,,Other Mozilla ecosystem updaters or packagers
firefoxhealthreport.exe,,Other Mozilla ecosystem updaters or packagers
"firefoxsync.exe,Seen in enterprise deployments",Seen in enterprise deployments,Firefox sync/auth/telemetry service shims
firefoxupdater.exe,,"Browsers, runtimes, misc third-party clients"
firefoxupdaterhost.exe,,More Mozilla ecosystem updaters / tools
firewallcheck.exe,,Malware-style EXEs (as seen in sandboxes + payload kits)
firewallmanagerhost.exe,,"Malware mimic EXEs (live samples, cracked loaders, red team artifacts)"
firewallpatcher.exe,,Known malware disguises from cracked malware toolchains (2023–2024)
firewallpolicyloader.exe,,Real-world malware disguises from leaked/red team toolkits
firewallrelayhost.exe,,"Red team / cracked malware disguises (sandbox confirmed, 2023–2024)"
firewallstatus.exe,,"Malware/fraud-themed disguises (real campaigns, not just theory)"
firmwareagent.exe,,OEM update managers (extended)
firmwareinstaller.exe,,Surface and device support tools
firstbootcontroller.exe,,"Silent installer, unattended setup, and OEM provisioning binaries"
firstbootuxhost.exe,,UX setup / immersive flows
firstlaunchhandler.exe,,UWP / immersive shell components
firstlogonanim.exe,,"Microsoft OOBE components (used in OEM setups, pre-auth contexts)"
fish.exe,,"i.exe,F# Interactive"
fixapphost.exe,,Post-install repair agents
fixinstaller.exe,,Windows Installers: Bundlers and rollback
fleetconfigservice.exe,,"Enterprise update, inventory, and provisioning agents"
fltmc.exe,,Kernel analysis and internal tools
fluent-bit.exe,,"Monitoring, log agents"
flutterdaemon.exe,,Mobile SDK bridge/companion tools
flux.exe,,DevOps / IaC Tools (container and code delivery)
focusassistbroker.exe,,UX / UI brokers for Windows 10/11 shell
fodhelper.exe,,UAC bypass favorites
folderredirectionagent.exe,,File migration and storage sync tools
fontadjusthost.exe,,"Accessibility, personalization, and input customization"
fontcachetrigger.exe,,"Font, DPI, and accessibility UX services"
fontcompressionhost.exe,,"Print, scan, DPI, font, rendering bridges"
fontdrvhost.exe,,Deep system infrastructure
fontloaderbridge.exe,,"Font, DPI, and accessibility UX services"
fontloaderhost.exe,,"UX bridge helpers (locale, DPI, theme, layout)"
fontmanagementhost.exe,,"Codepage, font, locale, and language UX"
forticlient.exe,,VPN & Virtualization tools
forticlientupdater.exe,,VPN & tunneling client binaries (often overlooked by EDR)
fortran.exe,,Legacy or secondary language interpreters
foxitreader.exe,,PDF / image software
frameworkhost.exe,,Misc one-offs seen in malware/sandbox logs
fsmgmt.msc,,MMC Snap-ins (Can trigger DLL loads)
"fsquirt.exe,Bluetooth file sender",Bluetooth file sender,"Device, Bluetooth, Hotspot, Wireless Tools"
fsutil.exe,,CLI binaries often side-loaded silently
ftp.exe,,Remote admin tools & legacy services
ftuelaunchproxy.exe,,Legacy/fallback tools invoked at logon or via shell
fujitsuupdatesvc.exe,,More OEM-specific tools (enterprise & consumer)
fusion.dll,,CLR Hosting binaries
fusionrunner.exe,,MSIX / MSI / Side-by-side component executors
fvenotify.exe,,"TPM, BitLocker, Key Storage"
gacutil.exe,,.NET SDKs and runtimes (less common ones)
gamebar.exe,,Mixed Reality and Xbox
gamebarftserver.exe,,Xbox / Windows Gaming deeper
gamebarpresencewriter.exe,,Game / launcher targets (surprisingly popular for sideloading due to trust factor)
gameinputsvc.exe,,Mixed Reality and Xbox
gamemodecontroller.exe,,UX helpers and projection/display
gamemodehelper.exe,,Microsoft gaming tools / GPU tuning
gamepanel.exe,,Microsoft gaming tools / GPU tuning
gameux.dll,,Microsoft gaming tools / GPU tuning
gameuxhost.exe,,UX helpers and projection/display
gammaadjustmentux.exe,,Display management & calibration tools
gcloud.exe,,Cloud CLI & agents
gdataavc.exe,,Security Vendor Processes
genymotion.exe,,Mobile and emulation tools
geolocationhandler.exe,,"Location, geofencing, Wi-Fi sense agents"
geoservicesbridge.exe,,"Location, time zone, geofencing utilities"
gestureinputhandler.exe,,"Accessibility gestures, input proxies, and special input services"
gestureuicontroller.exe,,"Tray utilities, overlays, clipboard & input switching"
gigabyteaudiobridge.exe,,OEM audio/video enhancement tools
gigabyteautotune.exe,,"OEM restore, performance, and backup agents"
gigabytebiosreporter.exe,,OEM telemetry and analytics collectors
